Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
YOTTA ENERGY INC YSM-B435-06-72-1,YOTTA ENERGY INC,Mono-c-Si,1,435.114,402.9,2.17,,,72,11.16,49.8,10.51,41.4,0.00837,-0.148404,45.3,1.9857,11.1674,1.41E-10,0.225479,340.592,11.4061,-0.377,N,SAM 2021.12.02,11/16/2022
YOTTA ENERGY INC YSM-B440-06-72-1,YOTTA ENERGY INC,Mono-c-Si,1,440.128,407.7,2.17,,,72,11.22,50,10.58,41.6,0.008415,-0.149,45.3,1.99315,11.2265,1.41E-10,0.221682,383.898,11.3545,-0.377,N,SAM 2021.12.02,11/16/2022
Zebra Energy ZBR-310M,Zebra Energy,Mono-c-Si,0,310.002,280.4,1.937,1.957,0.99,72,9.06,45,8.47,36.6,0.00636012,-0.17001,46.3,1.90445,9.06978,4.88E-10,0.330345,305.886,-1.35844,-0.4328,N,SAM 2021.12.02,11/16/2022
Zhejiang Kingdom Solar Energy Technic KD-M160,Zhejiang Kingdom Solar Energy Technic,Mono-c-Si,0,159.934,141.7,1.277,1.58,0.808,72,5.02,43.6,4.49,35.62,0.00251,-0.14824,48.3,1.88353,5.04188,4.14E-10,0.52899,121.388,13.9671,-0.45,N,SAM 2021.12.02,11/16/2022
Zhejiang Trunsun Solar Co. Ltd. TSP255-60,Zhejiang Trunsun Solar Co. Ltd.,Multi-c-Si,0,255.052,229.3,1.635,1.65,0.991,60,8.72,38.59,8.18,31.18,0.0063656,-0.13275,46.5,1.64293,8.7266,5.44E-10,0.319769,422.434,9.66133,-0.45,N,SAM 2021.12.02,11/16/2022
Zhongshan Ruike New Energy Co Ltd RK-110,Zhongshan Ruike New Energy Co Ltd,CdTe,0,109.858,102.4,0.72,,,146,1.34,121.6,1.18,93.1,0.0007236,-0.396416,44.9,4.49627,1.35829,2.21E-12,12.8502,941.511,-13.3238,-0.33,N,SAM 2021.12.02,11/16/2022
ZNSHINE PV-TECH Co. Ltd. ZXM5-72-175/MS,ZNSHINE PV-TECH Co. Ltd.,Mono-c-Si,0,175.062,155.6,1.277,1.58,0.808,72,5.23,44.4,4.89,35.8,0.002615,-0.15984,47,1.89348,5.23558,3.38E-10,0.630054,590.975,5.3276,-0.47,N,SAM 2021.12.02,11/16/2022
ZNSHINE PV-TECH Co. Ltd. ZXM5-72-180/MS,ZNSHINE PV-TECH Co. Ltd.,Mono-c-Si,0,179.914,160.1,1.277,1.58,0.808,72,5.47,44.6,4.97,36.2,0.002735,-0.16056,47,1.94392,5.48844,5.66E-10,0.541266,160.544,9.51666,-0.47,N,SAM 2021.12.02,11/16/2022
ZNSHINE PV-TECH Co. Ltd. ZXM5-72-185/MS,ZNSHINE PV-TECH Co. Ltd.,Mono-c-Si,0,184.912,164.7,1.277,1.58,0.808,72,5.54,45,5.08,36.4,0.00277,-0.162,47,1.94578,5.55527,4.82E-10,0.57153,207.334,7.96783,-0.47,N,SAM 2021.12.02,11/16/2022
ZNSHINE PV-TECH Co. Ltd. ZXM5-72-190/MS,ZNSHINE PV-TECH Co. Ltd.,Mono-c-Si,0,189.847,169.3,1.277,1.58,0.808,72,5.58,45.36,5.18,36.65,0.00279,-0.163296,47,1.94517,5.58949,4.07E-10,0.584553,343.626,6.38741,-0.47,N,SAM 2021.12.02,11/16/2022
Zytech Solar ZT315P,Zytech Solar,Multi-c-Si,0,315.094,285.1,1.931,1.95,0.99,72,9.01,46.44,8.56,36.81,0.00435183,-0.148562,46.4,1.86503,9.10661,1.39E-10,0.488376,682.29,5.57875,-0.4308,N,SAM 2021.12.02,11/16/2022
Zytech Solar ZT320P,Zytech Solar,Multi-c-Si,0,320.42,289.8,1.931,1.95,0.99,72,9.12,46.6,8.66,37,0.00440496,-0.149073,46.4,1.87379,9.21845,1.45E-10,0.475581,604.222,5.83834,-0.4308,N,SAM 2021.12.02,11/16/2022
